weekend_of,sampled_at,theatre_name,tz,show_date,day_of_week,showtime,showtime_id,auditorium_type,adult_price,child_price,senior_price,convenience_fee,all_prices,raw_bytes
2026-09-18,2026-09-19T14:33:41Z,AMC Hanes 12,ET,2026-09-18,Friday,8:25pm,147040241,Thrills & Chills,14.43,11.22,12.83,2.69,"{""Adult"":14.43,""Child"":11.22,""Senior"":12.83}",9258
2026-09-18,2026-09-19T14:33:43Z,AMC Wheaton Mall 9,ET,2026-09-18,Friday,8:30pm,147082406,Laser at AMC,16.99,13.99,15.49,2.69,"{""Adult"":16.99,""Child"":13.99,""Senior"":15.49}",9341
2026-09-18,2026-09-19T14:33:44Z,AMC Wheaton Mall 9,ET,2026-09-20,Sunday,2:30pm,146573864,Open Caption (On-screen Subtitles),13.59,11.19,12.39,2.69,"{""Adult"":13.59,""Child"":11.19,""Senior"":12.39}",10306
2026-09-18,2026-09-19T14:33:45Z,AMC Aviation 12,ET,2026-09-18,Friday,7:45pm,146557973,Dolby Cinema at AMC,24.51,21.31,22.91,2.99,"{""Adult"":24.51,""Child"":21.31,""Senior"":22.91}",9358
2026-09-18,2026-09-19T14:33:45Z,AMC Aviation 12,ET,2026-09-18,Friday,8:30pm,146557941,XL at AMC,19.71,16.52,18.12,2.99,"{""Adult"":19.71,""Child"":16.52,""Senior"":18.12}",9251
2026-09-18,2026-09-19T14:33:46Z,AMC Aviation 12,ET,2026-09-18,Friday,9:30pm,146557899,IMAX at AMC,23.98,20.78,22.38,2.99,"{""Adult"":23.98,""Child"":20.78,""Senior"":22.38}",9312
2026-09-18,2026-09-19T14:33:48Z,AMC Aviation 12,ET,2026-09-18,Friday,10:00pm,147228701,Laser at AMC,17.58,14.38,15.98,2.69,"{""Adult"":17.58,""Child"":14.38,""Senior"":15.98}",9247
2026-09-18,2026-09-19T14:33:49Z,AMC Parkway Pointe 15,ET,2026-09-18,Friday,7:45pm,146581069,Dolby Cinema at AMC,26.49,23.31,24.9,2.99,"{""Adult"":26.49,""Child"":23.31,""Senior"":24.9}",9380
2026-09-18,2026-09-19T14:33:50Z,AMC Parkway Pointe 15,ET,2026-09-18,Friday,8:15pm,146581080,Laser at AMC,20.13,16.95,18.54,2.69,"{""Adult"":20.13,""Child"":16.95,""Senior"":18.54}",9344
2026-09-18,2026-09-19T14:33:51Z,AMC Parkway Pointe 15,ET,2026-09-19,Saturday,12:30pm,146581076,Open Caption (On-screen Subtitles),16.1,13.56,14.83,2.69,"{""Adult"":16.1,""Child"":13.56,""Senior"":14.83}",10041
2026-09-18,2026-09-19T14:33:52Z,AMC Magic Johnson Harlem 9,ET,2026-09-18,Friday,8:15pm,146524698,XL at AMC,18.99,15.99,17.49,2.99,"{""Adult"":18.99,""Child"":15.99,""Senior"":17.49}",9305
2026-09-18,2026-09-19T14:33:54Z,AMC Magic Johnson Harlem 9,ET,2026-09-18,Friday,9:45pm,146524617,Dolby Cinema at AMC,22.99,19.99,21.49,2.99,"{""Adult"":22.99,""Child"":19.99,""Senior"":21.49}",9414
2026-09-18,2026-09-19T14:33:55Z,AMC Magic Johnson Harlem 9,ET,2026-09-18,Friday,9:05pm,147188860,Laser at AMC,16.99,13.99,15.49,2.69,"{""Adult"":16.99,""Child"":13.99,""Senior"":15.49}",9294
2026-09-18,2026-09-19T14:33:56Z,AMC Magic Johnson Harlem 9,ET,2026-09-19,Saturday,5:45pm,147188898,Open Caption (On-screen Subtitles),18.99,15.99,17.49,2.99,"{""Adult"":18.99,""Child"":15.99,""Senior"":17.49}",9193
2026-09-18,2026-09-19T14:33:57Z,AMC Harbison 14,ET,2026-09-18,Friday,7:45pm,146605987,PRIME at AMC,18.89,15.74,17.31,2.99,"{""Adult"":18.89,""Child"":15.74,""Senior"":17.31}",9331
2026-09-18,2026-09-19T14:33:58Z,AMC Harbison 14,ET,2026-09-18,Friday,9:15pm,146605892,Thrills & Chills,13.64,10.49,12.06,2.69,"{""Adult"":13.64,""Child"":10.49,""Senior"":12.06}",9296
2026-09-18,2026-09-19T14:33:59Z,AMC Harbison 14,ET,2026-09-20,Sunday,2:00pm,147131735,Open Caption (On-screen Subtitles),10.91,8.39,9.65,2.69,"{""Adult"":10.91,""Child"":8.39,""Senior"":9.65}",10164
2026-09-18,2026-09-19T14:34:00Z,AMC White Marsh 16,ET,2026-09-18,Friday,7:45pm,146597467,IMAX with Laser at AMC,25.84,22.54,24.19,2.99,"{""Adult"":25.84,""Child"":22.54,""Senior"":24.19}",9455
2026-09-18,2026-09-19T14:34:01Z,AMC White Marsh 16,ET,2026-09-18,Friday,8:45pm,146597475,Laser at AMC,18.14,14.84,16.49,2.69,"{""Adult"":18.14,""Child"":14.84,""Senior"":16.49}",9410
2026-09-18,2026-09-19T14:34:02Z,AMC White Marsh 16,ET,2026-09-18,Friday,9:30pm,146597428,Dolby Cinema at AMC,25.84,22.54,24.19,2.99,"{""Adult"":25.84,""Child"":22.54,""Senior"":24.19}",9394
2026-09-18,2026-09-19T14:34:03Z,AMC White Marsh 16,ET,2026-09-19,Saturday,11:00am,147155367,Open Caption (On-screen Subtitles),14.51,11.87,13.19,2.69,"{""Adult"":14.51,""Child"":11.87,""Senior"":13.19}",10322
2026-09-18,2026-09-19T14:34:04Z,AMC Bay Plaza Cinema 13,ET,2026-09-18,Friday,7:45pm,146483073,Dolby Cinema at AMC,27.99,24.99,26.49,2.99,"{""Adult"":27.99,""Child"":24.99,""Senior"":26.49}",9379
2026-09-18,2026-09-19T14:34:05Z,AMC Bay Plaza Cinema 13,ET,2026-09-18,Friday,8:30pm,147140877,Laser at AMC,20.99,17.99,19.49,2.69,"{""Adult"":20.99,""Child"":17.99,""Senior"":19.49}",9360
2026-09-18,2026-09-19T14:34:06Z,AMC Bay Plaza Cinema 13,ET,2026-09-19,Saturday,4:00pm,146483181,Open Caption (On-screen Subtitles),20.99,17.99,19.49,2.69,"{""Adult"":20.99,""Child"":17.99,""Senior"":19.49}",9337
2026-09-18,2026-09-19T14:34:08Z,AMC Plainville 20,ET,2026-09-18,Friday,7:30pm,146432161,Dolby Cinema at AMC,22.49,19.49,20.99,2.99,"{""Adult"":22.49,""Child"":19.49,""Senior"":20.99}",9351
2026-09-18,2026-09-19T14:34:10Z,AMC Plainville 20,ET,2026-09-18,Friday,8:00pm,147043337,Thrills & Chills,15.99,12.99,14.49,2.69,"{""Adult"":15.99,""Child"":12.99,""Senior"":14.49}",9264
2026-09-18,2026-09-19T14:34:10Z,AMC Plainville 20,ET,2026-09-18,Friday,9:00pm,146432215,IMAX with Laser at AMC,22.49,19.49,20.99,2.99,"{""Adult"":22.49,""Child"":19.49,""Senior"":20.99}",9404
2026-09-18,2026-09-19T14:34:11Z,AMC Plainville 20,ET,2026-09-18,Friday,8:30pm,146432055,Open Caption (On-screen Subtitles),15.99,12.99,14.49,2.69,"{""Adult"":15.99,""Child"":12.99,""Senior"":14.49}",9270
2026-09-18,2026-09-19T14:34:13Z,AMC Newport Centre 11,ET,2026-09-18,Friday,9:00pm,147119833,Laser at AMC,21.31,18.12,19.71,2.69,"{""Adult"":21.31,""Child"":18.12,""Senior"":19.71}",9347
2026-09-18,2026-09-19T14:34:13Z,AMC Headquarters Plaza 10,ET,2026-09-18,Friday,8:15pm,147065799,Laser at AMC,16.52,13.32,14.92,2.69,"{""Adult"":16.52,""Child"":13.32,""Senior"":14.92}",9351
2026-09-18,2026-09-19T14:34:14Z,AMC Woodhaven 10,ET,2026-09-18,Friday,9:00pm,147024337,Laser at AMC,16.49,13.49,14.99,2.69,"{""Adult"":16.49,""Child"":13.49,""Senior"":14.99}",9328
2026-09-18,2026-09-19T14:34:15Z,AMC Bayou 15,ET,2026-09-18,Friday,8:00pm,146613698,IMAX with Laser at AMC,20.95,17.73,19.34,2.99,"{""Adult"":20.95,""Child"":17.73,""Senior"":19.34}",9398
2026-09-18,2026-09-19T14:34:16Z,AMC Bayou 15,ET,2026-09-18,Friday,8:45pm,146702962,Thrills & Chills,14.5,11.28,12.89,2.69,"{""Adult"":14.5,""Child"":11.28,""Senior"":12.89}",9193
2026-09-18,2026-09-19T14:34:17Z,AMC Bayou 15,ET,2026-09-18,Friday,9:45pm,146613690,Dolby Cinema at AMC,20.95,17.73,19.34,2.99,"{""Adult"":20.95,""Child"":17.73,""Senior"":19.34}",9335
2026-09-18,2026-09-19T14:34:18Z,AMC Port Chester 14,ET,2026-09-18,Friday,8:15pm,146607119,Laser at AMC,16.49,13.49,14.99,2.69,"{""Adult"":16.49,""Child"":13.49,""Senior"":14.99}",9271
2026-09-18,2026-09-19T14:34:19Z,AMC Port Chester 14,ET,2026-09-18,Friday,9:00pm,146607113,Dolby Cinema at AMC,22.99,19.99,21.49,2.99,"{""Adult"":22.99,""Child"":19.99,""Senior"":21.49}",9357
